Id,Title,Episodes,Year,YearStart,YearEnd,TotalYears,EpisodesPerYear,Channel,American company,Technique,IMDb,google_user_rating
189,Bozo: The World's Most Famous Clown,157,1958-1962,1958,1962,4,39.25,Syndication,Larry Harmon Pictures,Traditional,7.8,89
1116,The New Woody Woodpecker Show,157,1999-2003,1999,2003,4,39.25,Fox Kids,Universal Cartoon Studios,Traditional,6.5,83
1311,Roger Ramjet,156,1965-1969,1965,1969,4,39,NBC,Pantomime Pictures,Traditional,6.7,83
399,DC Super Hero Girls (2019),78,2019-2021,2019,2021,2,39,Cartoon Network,Warner Bros. AnimationDC Entertainment,Flash,7.3,81
460,Dennis the Menace,78,1986-1988,1986,1988,2,39,Syndication,DIC Entertainment,Traditional,6.2,91
473,Dot.,78,2016-2018,2016,2018,2,39,Universal Kids,The Jim Henson Company,Flash,7.7,63
1702,Voltron: Legendary Defender,78,2016-2018,2016,2018,2,39,Netflix,DreamWorks Animation Television,Traditional,8.1,87
14,The Abbott and Costello Cartoon Show,39,1967-1968,1967,1968,1,39,Syndication,Hanna-Barbera,Traditional,7,78
195,Brats of the Lost Nebula,39,1998-1999,1998,1999,1,39,Kids' WB,The Jim Henson Company,CGI/Live-Action,6.9,52
847,Krypto the Superdog,39,2005-2006,2005,2006,1,39,Cartoon Network,Warner Bros. Animation,Traditional,5.6,91
1498,"Sagwa, the Chinese Siamese Cat",39,2001-2002,2001,2002,1,39,PBS Kids,Sesame Workshop,Traditional,7.2,96
1604,Tooter Turtle,39,1960-1961,1960,1961,1,39,NBC,Total Television,Traditional,7.3,91
1674,Uncle Grandpa,153,2013-2017,2013,2017,4,38.25,Cartoon Network,Cartoon Network Studios,Traditional,4.4,77
1174,Pepper Ann,113,1997-2000,1997,2000,3,37.66666667,ABC,Walt Disney Television Animation,Traditional,7.1,94
398,DC Super Hero Girls (2015),112,2015-2018,2015,2018,3,37.33333333,Cartoon Network,Warner Bros. AnimationDC Entertainment,Traditional,7.1,97
1274,Regular Show,261,2010-2017,2010,2017,7,37.28571429,Cartoon Network,Cartoon Network Studios,Traditional,8.5,96
1685,Vampirina,147,2017-2021,2017,2021,4,36.75,Disney Junior,Brown Bag Films,CGI,6.5,79
146,The Beagles,36,1966-1967,1966,1967,1,36,CBS,Total Television,Traditional,6.2,89
